time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,3.093172560822847e-08,1.9751688155540882e-08,0.0042526997311299755,2.344269830079071e-05,6.283144283029772,0.0,3.2110435978698634e-06,1.9387157175217036e-06,0.14174884934131027,0.0011609721159313467,-0.0020876472512688813,0.0,450.0157594988401,449.8467886760736,449.9245966258014,450.0185552155843
0.12000000000000001,1.600875711311084e-06,9.490439025011665e-07,0.017014565575596097,0.0001128497889695268,6.283054084016943,0.0,6.0749786914065075e-05,3.765190609778478e-05,0.28362137920874897,0.0021404673140940776,-0.0003594532473054523,0.0,450.00263503483046,450.14251493545976,449.93564582677953,450.014892543294
0.18,8.278960265706413e-06,6.355471356312479e-06,0.038285809510123975,0.00039528392375043353,6.28292455028015,0.0,0.0001697313749057721,0.0001652574776215496,0.42537732362609176,0.009401652324802747,-0.0060255997482127335,0.0,450.38045616969805,449.92206579653805,449.6722717988744,450.2599195342712
0.23999999999999996,2.568669497135645e-05,2.724072892987418e-05,0.0680387943000171,0.0009961055250427009,6.282490686359093,0.0,0.00045336138415772034,0.0005938650777019237,0.5663289269832267,0.011210513615147836,-0.009758167463254393,0.0,450.1723067373323,449.8703347160683,449.74113414294965,449.88747103333066
0.3,7.04658629183946e-05,8.745452205837828e-05,0.10623354371123579,0.0017459086241107258,6.281888778007843,0.0,0.0011033242687909003,0.0014901062354785066,0.7067524084145606,0.01495240176675135,-0.010584778762447353,0.0,450.0882729832297,450.021503434942,449.58858115883726,449.8914894477007
0.36000000000000004,0.00016758757009954653,0.00021891186193404288,0.1528477658409277,0.0028687366204183107,6.281254016405507,0.0,0.002202478155775332,0.0030016293773229637,0.8469608301960964,0.025337373766909373,-0.010568524869660928,0.0,450.1712146759981,450.17265559386635,449.4256460477148,450.2664091904954
0.4200000000000001,0.0003444653043443122,0.0004681156929100361,0.2078487382273914,0.004660798230845309,6.280640509328059,0.0,0.0037604739769789342,0.005484755108220695,0.9862939357281642,0.037661284546170334,-0.009546998822188039,0.0,450.00145190247844,450.08424962618545,449.3634584518012,450.36149755384776
0.48000000000000015,0.0006279132282245919,0.0009083129734720464,0.27119390606138427,0.007158594843449606,6.2801108948062065,0.0,0.005746804285409254,0.009445201728544385,1.1250834729029155,0.048573040567756555,-0.007424258439556553,0.0,449.84086652497757,450.012827466787,449.6988435524446,450.5826401625302
0.5400000000000001,0.0010414791726690502,0.001643164523399659,0.3428415186665524,0.010353560644139392,6.279738866796389,0.0,0.008082150767744644,0.015378919608403053,1.2630249204238058,0.06125809373202509,-0.0038587355139053365,0.0,449.9844997314975,450.27311056160033,449.4705956271152,450.49914734669716
0.6000000000000002,0.001602310320164928,0.002806515369181478,0.42273692402986174,0.014355137331733658,6.279585681330261,0.0,0.010632211872943931,0.023812106636358188,1.3999923632684805,0.07579646738482947,-6.176624338003725e-05,0.0,450.00535502306303,450.3126253416451,449.40529362793654,450.585245720336
0.6600000000000003,0.0023183536679020427,0.004566077110191766,0.5108183094877373,0.019267009616151576,6.279749160870441,0.0,0.013226150141368975,0.035347154249934794,1.5358726764232968,0.09184708142467643,0.007784805784970003,0.0,449.76433360654727,450.39927777660904,449.46556485879336,450.7696256549661
0.7200000000000003,0.0031845330114096807,0.007127546039582051,0.6070121531320103,0.025095041314397548,6.280312321328761,0.0,0.015590485170675074,0.05064032910548785,1.6703886546259787,0.10602504095192514,0.01241016014199747,0.0,449.88415998769017,450.25836155853347,449.50274095021155,450.6579752800564
0.7800000000000004,0.004179181864178813,0.01073579064065031,0.7112433856332161,0.031853977873700146,6.281120010181949,0.0,0.017480803224563503,0.07033334248304851,1.8037649500953998,0.12337715539687605,0.015485265951833584,0.0,450.0661018296089,450.3147844044541,449.4258047991632,450.8408478879898
0.8400000000000004,0.00526883065197097,0.015674467399606564,0.8234234964984962,0.0395826962589787,6.282186884009651,0.0,0.01873351322770568,0.09509087509725428,1.9353295206138441,0.13791112697151878,0.02201731628705288,0.0,449.7462873266465,450.2749260911617,449.5650828110113,450.75589777292817
0.9000000000000005,0.006408838313804115,0.02226707711730654,0.9434428206487948,0.04816934928364969,0.0005638671052388133,0.0,0.019111960633444208,0.1255519760741163,2.0650488994808085,0.15187460358988042,0.03306228705010632,0.0,449.6747529911658,450.5686543521301,449.39448108076147,450.5435017572386
0.9600000000000005,0.007535228848773256,0.030873384074727485,1.071193285940194,0.05743992775938711,0.002793241693649584,0.0,0.018209623423708316,0.16228870810378343,2.1930092309233835,0.15931235081379158,0.044291588164615515,0.0,449.70712524789434,450.6163617251247,449.69019005712966,450.31441944923876
1.0200000000000005,0.008556898117655603,0.04188267861322258,1.2065719933105532,0.06715303992289279,0.005705320425796856,0.0,0.015550246383683818,0.20569313169707787,2.3192980739930102,0.1665837535484582,0.055895979243864656,0.0,449.95217781365903,450.89200765849586,449.6669933610127,450.28015585234294
1.0800000000000005,0.00935389243110153,0.05570307158418396,1.3494698920373196,0.07720598918047639,0.00933146143977659,0.0,0.01064713349932617,0.2560261361973957,2.4436224878089488,0.16941071762820323,0.06824138280970102,0.0,449.85859974372664,450.8596140098585,450.0690148943681,450.32419952468473
1.1400000000000006,0.009776680568852421,0.07275368876509673,1.4997421355147245,0.0875314287133806,0.013686870948881769,0.0,0.003001578242595676,0.31338271891715613,2.5650846357937493,0.17696741966330967,0.08010957310272127,0.0,449.8305768793117,450.7945583645631,449.63606733966554,450.2758043866752
